종목명(코드),현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성증권 (016360),"78,800","▲ 1,500",+1.94%,"289,012","22,730","70,368"
HD현대미포 (010620),"176,000","▼ 3,100",-1.73%,"105,633","18,748","70,298"
한화 (000880),"92,400",▲ 300,+0.33%,"178,909","16,563","69,262"
삼성카드 (029780),"59,000","▲ 2,400",+4.24%,"71,173","4,165","68,357"
에이피알 (278470),"174,600","▲ 8,300",+4.99%,"351,149","61,206","66,425"
LG유플러스 (032640),"15,020",▲ 30,+0.20%,"439,457","6,596","65,579"
키움증권 (039490),"235,500","▼ 2,500",-1.05%,"72,426","17,124","60,455"
LS (006260),"185,700","▲ 3,300",+1.81%,"76,763","14,306","59,795"
한화솔루션 (009830),"34,850",▼ 550,-1.55%,"1,278,415","45,119","59,905"
한국타이어앤테크놀로지 (161390),"46,650","▲ 2,350",+5.30%,"239,313","10,912","57,788"
두산밥캣 (241560),"56,900",▲ 300,+0.53%,"195,140","11,163","54,542"
LG생활건강 (051900),"338,500","▲ 9,000",+2.73%,"45,613","15,457","52,868"
넷마블 (251270),"61,300",▼ 400,-0.65%,"99,154","6,107","52,689"
CJ (001040),"172,300","▲ 13,300",+8.36%,"280,580","47,658","50,272"
GS (078930),"53,800","▲ 1,700",+3.26%,"417,573","22,377","49,988"
BNK금융지주 (138930),"15,590",▲ 280,+1.83%,"1,069,970","16,533","49,636"
삼성E&A (028050),"25,150",▲ 350,+1.41%,"329,858","8,241","49,294"
JB금융지주 (175330),"25,250",▼ 100,-0.39%,"335,687","8,520","48,962"
오리온 (271560),"120,500",▼ 200,-0.17%,"26,410","3,182","47,641"
현대제철 (004020),"35,500",▲ 500,+1.43%,"459,886","16,177","47,373"
LG디스플레이 (034220),"9,250",▲ 10,+0.11%,"304,765","2,819","46,250"
엔씨소프트 (036570),"210,000","▼ 1,500",-0.71%,"49,319","10,517","45,242"
강원랜드 (035250),"20,350",▼ 100,-0.49%,"164,201","3,348","43,537"
한국가스공사 (036460),"46,000",▲ 500,+1.10%,"271,544","12,486","42,464"
두산로보틱스 (454910),"60,700","▼ 1,000",-1.62%,"87,270","5,362","39,346"
CJ제일제당 (097950),"260,500","▲ 1,500",+0.58%,"20,029","5,221","39,216"
SKC (011790),"101,700","▼ 2,000",-1.93%,"80,823","8,259","38,512"
SK바이오사이언스 (302440),"47,550",▼ 600,-1.25%,"47,991","2,286","37,265"
포스코DX (022100),"24,200",▲ 50,+0.21%,"157,759","3,830","36,792"
LG이노텍 (011070),"154,900","▼ 2,400",-1.53%,"77,870","12,124","36,660"
한화생명 (088350),"4,190",▲ 20,+0.48%,"3,589,535","15,326","36,391"
풍산 (103140),"129,200","▼ 5,500",-4.08%,"300,207","39,597","36,207"
에코프로머티 (450080),"51,400",▼ 100,-0.19%,"253,683","13,120","35,945"
한미약품 (128940),"280,000","▼ 5,500",-1.93%,"31,985","9,011","35,871"
롯데지주 (004990),"33,550",▼ 550,-1.61%,"447,453","14,974","35,197"
현대엘리베이터 (017800),"87,900",▲ 500,+0.57%,"104,765","9,151","34,362"
한전기술 (052690),"88,300","▼ 2,600",-2.86%,"169,823","15,117","33,748"
KCC (002380),"375,500","▲ 18,500",+5.18%,"58,925","22,466","33,369"
금호석유화학 (011780),"125,900",▲ 200,+0.16%,"43,886","5,494","33,313"
한미사이언스 (008930),"46,850",▼ 100,-0.21%,"91,471","4,290","32,041"
동서 (026960),"31,050",▼ 50,-0.16%,"67,817","2,118","30,957"
F&F (383220),"80,500",▲ 900,+1.13%,"29,596","2,396","30,837"
롯데케미칼 (011170),"68,500","▼ 1,500",-2.14%,"63,082","4,310","29,301"
대한전선 (001440),"15,630",▼ 280,-1.76%,"427,926","6,735","29,142"
코스맥스 (192820),"249,500","▲ 4,000",+1.63%,"66,649","16,541","28,317"
이마트 (139480),"99,600","▲ 3,400",+3.53%,"83,987","8,299","27,485"
한화비전 (489790),"53,800","▼ 1,700",-3.06%,"416,346","22,282","27,163"
영원무역 (111770),"61,250","▲ 1,050",+1.74%,"21,854","1,309","27,141"
에스원 (012750),"71,400",▲ 100,+0.14%,"9,132",651,"27,131"
현대해상 (001450),"30,200","▲ 1,850",+6.53%,"884,418","26,524","26,999"
아모레퍼시픽홀딩스 (002790),"33,950","▲ 1,050",+3.19%,"206,393","6,968","26,976"
제일기획 (030000),"22,100",▲ 450,+2.08%,"211,716","4,679","25,424"
